County,ZIP Code,Total Properties,Total Population,Median Income,Median Property Value,Total Insurer-Initiated Nonrenewals (2015 - 2021),Percent Total Nonrenewals Over Period to Total Properties (2015-2021),Absolute Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Nonrenewals of Total Properties (2021),2015_New,2015_Renewed,2015_Insured-Initiated Nonrenewed,2015_Insurer-Initiated Nonrenewed,2015_ins_owner_nr_ratio,2015_new_ins_nr_ratio,2021_New,2021_Renewed,2021_Insured-Initiated Nonrenewed,2021_Insurer-Initiated Nonrenewed,2021_ins_owner_nr_ratio,2021_new_ins_nr_ratio
Riverside,92570,"20,207","60,686","$25,344","$280,600","6,658",32.95,448,109.54,4.24,1387,8073,838,409,0.488066825775656,3.39119804400978,1945,8503,1095,857,0.782648401826484,2.26954492415403
Los Angeles,93510,"4,208","7,644","$43,438","$565,500","1,596",37.93,61,108.93,2.78,224,2160,189,56,0.296296296296296,4,312,2057,296,117,0.39527027027027,2.66666666666667
Los Angeles,91301,"8,651","26,334","$49,462","$834,300","4,448",51.42,138,108.66,3.06,721,6419,587,127,0.216354344122658,5.67716535433071,882,6229,718,265,0.36908077994429,3.32830188679245
Los Angeles,91207,"2,864","11,031","$47,675","$1,021,600","1,494",52.16,52,108.33,3.49,281,2305,218,48,0.220183486238532,5.85416666666667,314,2297,216,100,0.462962962962963,3.14
San Diego,92009,"11,694","46,612","$56,848","$870,400","8,659",74.05,200,108.11,3.29,1461,11079,1241,185,0.149073327961322,7.8972972972973,1549,10581,1338,385,0.287742899850523,4.02337662337662
Santa Barbara,93103,"5,906","20,538","$41,835","$1,040,400","2,120",35.90,103,107.29,3.37,347,3713,254,96,0.377952755905512,3.61458333333333,593,3583,394,199,0.50507614213198,2.97989949748744
Santa Clara,95070,"11,845","31,196","$81,557","$2,000,001","5,676",47.92,154,106.21,2.52,863,9609,777,145,0.186615186615187,5.95172413793103,1128,9358,909,299,0.328932893289329,3.77257525083612
Alameda,94708,"4,939","11,394","$80,766","$1,112,900","1,965",39.79,89,105.95,3.50,348,4226,277,84,0.303249097472924,4.14285714285714,488,4108,352,173,0.491477272727273,2.82080924855491
San Bernardino,91737,"7,544","25,154","$41,182","$619,900","4,637",61.47,126,105.88,3.25,789,5896,623,119,0.191011235955056,6.63025210084034,882,5873,704,245,0.348011363636364,3.6
San Diego,92027,"12,151","56,788","$29,025","$440,100","8,030",66.09,231,105.48,3.70,1358,10497,1104,219,0.198369565217391,6.20091324200913,1736,10323,1332,450,0.337837837837838,3.85777777777778
Riverside,92530,"27,590","58,184","$24,901","$324,100","10,514",38.11,378,105.29,2.67,1867,10695,1205,359,0.29792531120332,5.20055710306407,2683,11905,1853,737,0.397733405288721,3.640434192673
Riverside,92595,"11,690","33,649","$30,929","$360,100","7,218",61.75,254,104.96,4.24,1323,7387,954,242,0.253668763102725,5.46694214876033,1579,7761,1184,496,0.418918918918919,3.18346774193548
Orange,92823,"1,545","4,872","$57,188","$828,600",981,63.50,24,104.35,3.04,217,1067,118,23,0.194915254237288,9.43478260869565,193,1323,155,47,0.303225806451613,4.1063829787234
Santa Barbara,93101,"7,214","31,371","$30,394","$892,300","2,366",32.80,73,104.29,1.98,388,4268,309,70,0.226537216828479,5.54285714285714,548,4177,448,143,0.319196428571429,3.83216783216783
Los Angeles,90210,"8,578","19,314","$67,354","$2,000,001","3,672",42.81,305,104.10,6.97,789,5103,546,293,0.536630036630037,2.69283276450512,1008,4607,547,598,1.09323583180987,1.68561872909699
San Bernardino,91739,"11,830","39,875","$44,290","$612,000","7,833",66.21,156,104.00,2.59,1420,7925,1057,150,0.141911069063387,9.46666666666667,1438,8414,1186,306,0.258010118043845,4.69934640522876
